AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/10/22,14:00,7.04,0.0
2025/10/22,15:00,7.04,0.0
2025/10/22,16:00,7.04,0.0
2025/10/22,17:00,7.05,0.0
2025/10/22,18:00,7.07,0.0
2025/10/22,19:00,7.08,0.0
2025/10/22,20:00,7.08,0.6
2025/10/22,21:00,7.09,0.6
2025/10/22,22:00,7.09,0.3
2025/10/22,23:00,7.09,0.0
2025/10/23,00:00,7.11,0.0
2025/10/23,01:00,7.11,0.0
2025/10/23,02:00,7.13,0.0
2025/10/23,03:00,7.13,0.0
2025/10/23,04:00,7.14,0.3
2025/10/23,05:00,7.15,0.6
2025/10/23,06:00,7.15,0.3
2025/10/23,07:00,7.16,0.0
2025/10/23,08:00,7.17,0.3
2025/10/23,09:00,7.18,0.0
2025/10/23,10:00,7.18,0.0
2025/10/23,11:00,7.19,0.0
2025/10/23,12:00,7.20,0.0
2025/10/23,13:00,7.20,0.0
2025/10/23,14:00,7.21,0.0
2025/10/23,15:00,7.22,0.0
2025/10/23,16:00,7.23,0.0
2025/10/23,17:00,7.23,0.0
2025/10/23,18:00,7.24,0.0
2025/10/23,19:00,7.24,0.0
2025/10/23,20:00,7.24,0.0
2025/10/23,21:00,7.25,0.0
2025/10/23,22:00,7.27,0.3
2025/10/23,23:00,7.28,0.0
2025/10/24,00:00,7.29,0.0
2025/10/24,01:00,7.29,0.0
2025/10/24,02:00,7.30,0.0
2025/10/24,03:00,7.31,0.0
2025/10/24,04:00,7.31,0.0
2025/10/24,05:00,7.31,0.0
2025/10/24,06:00,7.32,0.0
2025/10/24,07:00,7.33,0.0
2025/10/24,08:00,7.33,0.0
2025/10/24,09:00,7.34,0.0
2025/10/24,10:00,7.34,0.0
2025/10/24,11:00,7.34,0.0
2025/10/24,12:00,7.35,0.0
2025/10/24,13:00,7.36,0.0
2025/10/24,14:00,7.37,0.0
2025/10/24,15:00,7.37,0.0
2025/10/24,16:00,7.37,0.0
2025/10/24,17:00,7.37,0.0
2025/10/24,18:00,7.37,0.0
2025/10/24,19:00,7.38,0.0
2025/10/24,20:00,7.38,0.0
2025/10/24,21:00,7.38,0.0
2025/10/24,22:00,7.38,0.0
2025/10/24,23:00,7.39,0.0
2025/10/25,00:00,7.39,0.0
2025/10/25,01:00,7.39,0.0
2025/10/25,02:00,7.40,0.0
2025/10/25,03:00,7.40,0.0
2025/10/25,04:00,7.39,0.0
2025/10/25,05:00,7.39,0.0
2025/10/25,06:00,7.39,0.0
2025/10/25,07:00,7.36,0.0
2025/10/25,08:00,7.37,0.0
2025/10/25,09:00,7.40,0.0
2025/10/25,10:00,7.38,0.0
2025/10/25,11:00,7.37,0.0
2025/10/25,12:00,7.40,0.0
2025/10/25,13:00,7.40,0.0
2025/10/25,14:00,7.40,0.0
2025/10/25,15:00,7.39,0.0
2025/10/25,16:00,7.42,0.0
2025/10/25,17:00,7.40,0.0
2025/10/25,18:00,7.41,0.0
2025/10/25,19:00,7.40,0.0
2025/10/25,20:00,7.41,0.0
2025/10/25,21:00,7.40,0.0
2025/10/25,22:00,7.39,0.0
2025/10/25,23:00,7.40,0.0
2025/10/26,00:00,7.39,0.0
2025/10/26,01:00,7.39,0.0
2025/10/26,02:00,7.38,0.0
2025/10/26,03:00,7.39,0.0
2025/10/26,04:00,7.39,0.0
2025/10/26,05:00,7.37,0.0
2025/10/26,06:00,7.37,0.0
2025/10/26,07:00,7.38,0.0
2025/10/26,08:00,7.37,0.0
2025/10/26,09:00,7.39,0.0
2025/10/26,10:00,7.36,0.0
2025/10/26,11:00,7.37,0.0
2025/10/26,12:00,7.38,0.0
2025/10/26,13:00,7.37,0.0
2025/10/26,14:00,7.38,0.0
2025/10/26,15:00,7.36,0.0
2025/10/26,16:00,7.38,0.0
2025/10/26,17:00,7.36,0.0
2025/10/26,18:00,7.37,0.0
2025/10/26,19:00,7.35,0.0
2025/10/26,20:00,7.36,4.5
2025/10/26,21:00,7.36,1.2
2025/10/26,22:00,7.36,0.3
2025/10/26,23:00,7.37,9.3
